DocType,Type,Key Fields,Child Tables,Links,Indexes/Unique,Naming Series,Change Tracking,Permissions Summary,Gaps
Repair Quotation,Standard,title; quotation_date; valid_till; status; contact_email; company; currency; items; grand_total; repair_order; customer_name,items:Repair Quotation Item,company->Company; currency->Currency; owner_signature->User; accepted_by->User; repair_order->Repair Order; customer_name->Customer; customer_primary_contact->Contact; amended_from->Repair Quotation,,RQ-.YYYY.-.#####,changes / seen,System Manager:RWCDSXPEH; Sales User:RWCDSXPEH; Sales Manager:RWCDSXAPEH,
Repair Quotation Item,Standard,idx; item_type; item_code; description; qty; uom; rate; amount,,item_code->Item; uom->UOM; technician->Employee,,,No,System Manager:RWCD,
Repair Related Document,Standard,doctype_name; document_name; description,,doctype_name->DocType; document_name->doctype_name,,,changes,System Manager:RWCD,
Repair Request,Standard,section_main; customer; instrument_category; date_reported; promise_date; issue_description,repair_notes:Repair Task Log; qa_checklist:Qa Checklist Item,customer->Customer; instrument_category->Instrument Category; technician_assigned->User; amended_from->Repair Request,,,No,System Manager:RWCDSX; Repair Manager:RWC; Technician:RW; Customer:RC,
Repair Settings,Single,default_company; default_source_warehouse; default_labor_item; default_labor_rate; default_qa_required,,default_company->Company; default_source_warehouse->Warehouse; default_labor_item->Item,,,changes,System Manager:RWCDPEH,
Repair Task,Standard,naming_series; repair_order; task_type; status; assigned_to,,repair_order->Repair Order; task_type->Activity Type; assigned_to->User,,naming_series:,changes,Repair Manager:RWCDPEH; Repair Technician:RWCPE,
Repair Task Log,Standard,log_entry; timestamp; logged_by,,logged_by->User,,,changes / views,System Manager:RWCD; Technician:RWC,
SLA Policy,Standard,policy_name; enabled; default_policy; apply_per_workshop; breach_grace_minutes,rules:SLA Policy Rule,,policy_name,field:policy_name,changes,System Manager:RWCDPEHO; Repair Manager:RWCDPEO; Repair Technician:R,
SLA Policy Rule,Standard,service_type; workshop; start_event; stop_event; tat_hours,,service_type->Service Type; workshop->Workshop; escalate_to_role_1->Role; escalate_to_role_2->Role,,,changes,System Manager:RWCD; Repair Manager:RWCD,
Service Plan,Standard,plan_date; instrument; estimated_cost; labor_hours; notes; plan_status,tasks:Repair Task Log,instrument->Instrument Profile,,,No,System Manager:RWCD; Repair Manager:RWCD; Technician:RC,
Service Task,Standard,task_name; description; scheduled_date; assigned_to; workflow_state,,assigned_to->User,,,No,Technician:RWC; Service Manager:RWCDS; System Manager:RWCDS; Customer:RC,
Setup Checklist Item,Standard,task; completed; notes,,,,format:SCI-{#####},No,,
Setup Material Log,Standard,item_code; description; qty; uom; rate; amount,,item_code->Item; uom->UOM,,,No,,
Setup Template,Standard,basic_info_section; template_name; clarinet_model; setup_type; column_break_basic; is_active,default_operations:Clarinet Setup Operation; checklist_items:Setup Checklist Item; template_tasks:Clarinet Template Task,clarinet_model->Instrument Model; pad_map->Clarinet Pad Map; default_technician->User,template_name,format:SETUP-{clarinet_model},changes,Technician:RWC; Service Manager:RWC; System Manager:RWCD,
Tasks,Standard,task_description; task_due_date,,,,,No,System Manager:RWCD; Technician:RWC,
Technician,Standard,first_name; last_name; user; email; phone; employment_status; hire_date,,user->User,,,changes,System Manager:RWCDSXA; Repair Manager:RWCD; Technician:RW,
Tenon Measurement,Standard,measurement_type; tenon_type; tenon_height; tenon_external_diameter; tenon_internal_diameter,,,,,No,System Manager:RWCD; Technician:RWC,
Tone Hole Inspection Record,Standard,tone_hole_number; visual_status; notes; photo,,,,,No,Technician:RWC; System Manager:RWCD,
Tool,Standard,tool_name; tool_type; location; in_service; requires_calibration; workflow_state,,asset->Asset,,,changes,Technician:R; Service Manager:RWCD; System Manager:RWCD,
Tool Calibration Log,Standard,tool_name; calibration_date; calibrated_by; next_due,,calibrated_by->Technician,,,changes,Technician:RWC; Service Manager:RWCDS; System Manager:RWCDS; Customer:RC,
Tool Usage Log,Standard,tool; used_by; usage_notes,,used_by->User,,,No,Technician:RWC; Service Manager:RWCDS; System Manager:RWCDS,
Upgrade Option,Standard,upgrade_description; notes,,,,,No,Technician:RWC; Service Manager:RWCDS; System Manager:RWCDS,
Visual Inspection,Standard,serial_no; inspection_date; inspected_by; component; condition,,serial_no->Serial No; inspected_by->User,,,No,System Manager:RWCD,
Warranty Modification Log,Standard,warranty_mod_id; instrument_profile; modified_by; modification_date; old_start_date; reason,,instrument_profile->Instrument Profile; modified_by->User,warranty_mod_id,,changes / views,System Manager:RWC,
